level,code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,5G connectivity,Gigabit connectivity,GFCF per job,ICT per job,Intangibles per job
ITL1,TLC,North East,2008,24.75,,,,,,,,,,8070.120857720875,303.76293680002783,908.7613880261788
ITL1,TLC,North East,2009,25.3,,,,,,,,,,6981.161103869724,303.76806454083743,948.60580931623
ITL1,TLC,North East,2010,25.95,,,,,,,,,,7249.556074496971,293.30935540613956,1078.333282167704
ITL1,TLC,North East,2011,26.58,,,,,,,,,,6639.730584566974,395.9742380061922,1101.1134964809082
ITL1,TLC,North East,2012,27.12,,,0.26151434772124427,0.26700024113817217,0.7397516276826621,0.2846884410470234,0.638252355161964,,,7398.59831338523,390.25796717016266,1243.5845770768544
ITL1,TLC,North East,2013,27.54,,,0.24105632100555957,0.2785230843606478,0.7376117959874305,0.2685398433901428,0.6356549900722123,,,7704.457090376509,424.5421948857419,1295.4746537004605
ITL1,TLC,North East,2014,28.0,,,0.2293016776694325,0.28350796438737813,0.7489552419599055,0.2721351025331725,0.6324885595840155,,,8337.54335396612,450.8308605885416,1281.1481313045358
ITL1,TLC,North East,2015,28.55,,,0.22465703532839626,0.30642224110719923,0.7516692970741775,0.26986066976289413,0.6307517715724457,,,8946.503878418622,421.824071373666,1246.330765379352
ITL1,TLC,North East,2016,29.1,0.29852211745187995,,0.20902584010675726,0.31293218488414415,0.7554288487201262,0.28174603174603174,0.629656492325226,,,9507.120094598278,391.86359510629154,1292.0982905268975
ITL1,TLC,North East,2017,29.66,0.3190408887720221,0.12285906945380984,0.21111786148238154,0.3166464155528554,0.7537667071688943,0.2753515914137676,0.6273375087230785,,,10202.471665501587,433.6332994739389,1456.1646562888884
ITL1,TLC,North East,2018,30.4,0.32333537154442765,0.1227419789700728,0.21251447023700726,0.31048559069030646,0.7525132516907329,0.2695716395864106,0.6242125083621961,,,10583.77146780838,424.9560473490123,1514.186226962927
